------Authors-----

vertex_id,DBLP_id,name
485,4039,Alvaro A. A. Fernandes
486,4043,Roberta Cochrane
487,4049,Ian Horrocks
488,4050,Ulrike Sattler
489,4052,Wolfgang Nejdl
490,4055,Wendy Hall
491,4058,Mark A. Musen
492,4060,Dieter Fensel
493,4063,AnHai Doan
494,4064,Jayant Madhavan
495,4065,Pedro Domingos
496,4066,Alon Y. Halevy
497,4069,Enrico Motta
498,4073,Asunción Gómez-Pérez
499,4077,Udo Hahn
500,4080,Alun D. Preece
501,4090,Michele Missikoff
502,4092,Prasenjit Mitra
503,4098,Boris Motik
504,4099,Robert Stevens
505,4102,Rudi Studer
506,4112,K. Selçuk Candan
507,4113,Shahram Ghandeharizadeh
508,4119,Banu Özden
509,4120,A. Prasad Sistla
510,4126,Joost N. Kok
511,4139,Lei Liu
512,4143,Robert F. Murphy
513,4145,Jignesh M. Patel
514,4157,Ambuj K. Singh
515,4158,Mohammed Javeed Zaki
516,4162,Kaizhong Zhang
517,4163,Omar Benjelloun
518,4164,Ioana Manolescu
519,4165,Tova Milo
520,4166,Roger Weber
521,4167,Carlos Castillo
522,4169,James Bailey
523,4173,Angela Bonifati
524,4181,Andrea Pugliese
525,4182,Brian D. Davison
526,4195,Filippo Menczer
527,4196,Matthew Richardson
528,4197,Barry Smyth
529,4202,Craig Boutilier
530,4208,Manuela M. Veloso
531,4209,Alon Y. Levy
532,4214,Alessandro Saffiotti
533,4220,Murray Shanahan
534,4224,Yang Xiang
535,4230,Manfred Hauswirth
536,4246,Weiru Liu
537,4260,Marco Cadoli
538,4262,Georg Gottlob
539,4331,Stefano Bistarelli
540,4372,Martin Ester
541,4373,Jörg Sander
542,4409,Toru Ishida
543,4441,Gösta Grahne
544,4455,Nimrod Megiddo
545,4509,Jörg Hoffmann
546,4514,Leonid Libkin
547,4549,Sergey Melnik
548,4563,Bernhard Nebel
549,4583,Sascha Ossowski
550,4588,Jan Paredaens
551,4623,Jochen Renz
552,4648,Torsten Schaub
553,4689,Michael Thielscher
554,4694,Domenico Ursino
555,4695,Gabriel Valiente
556,4724,Chengqi Zhang
557,4725,Shichao Zhang
558,4732,Malte Helmert
559,4741,Eyke Hüllermeier
560,4750,Bing Liu
561,4752,Harumi A. Kuno
562,4794,Pierre Baldi
563,4795,Paolo Frasconi
564,4798,Theodore Johnson
565,4807,Rafael Dueire Lins
566,4826,Sun Kim
567,4837,Li Zhang
568,4838,Aidong Zhang
569,4839,Murali Ramanathan
570,4841,Cathy H. Wu
571,4881,Wolfgang Maass
572,4891,Sanghamitra Bandyopadhyay
573,4893,Ujjwal Maulik
574,4903,Arun Krishnan
575,4934,Hamideh Afsarmanesh
576,4950,Yi-Cheng Tu
577,4954,Evaggelia Pitoura
578,4966,Vassilios S. Verykios
579,4968,Grigorios Tsoumakas
580,4979,Sebastian Thrun
581,4980,Sudha Ram
582,4991,José Cristóbal Riquelme S
583,5007,Rosa Meo
584,5008,Giuseppe Psaila
585,5019,Z. M. Ma
586,5022,Ali R. Hurson
587,5038,Maria Luisa Sapino
588,5041,Val Tannen
589,5047,Ji Zhang
590,5072,Christos Makris
591,5080,Ladjel Bellatreche
592,5095,Uwe Röhm
593,5112,Frans Coenen
594,5113,Wei Sun
595,5122,Francesco Buccafurri
596,5131,Zbigniew W. Ras
597,5140,Yücel Saygin
598,5153,Tharam S. Dillon
599,5159,Alfredo Cuzzocrea
600,5226,Avigdor Gal
601,5227,Dieter Gawlick
602,5238,Opher Etzion
603,5440,Jonathan Schaeffer
604,5474,Richard T. Watson
605,5479,Bruce Schneier
606,5483,Witold Pedrycz
607,5518,Stuart J. Russell
608,5548,Ilya Shmulevich
609,5549,Edward R. Dougherty
610,5557,Ben Shneiderman
611,5585,Matthew O. Ward
612,5614,David Poole
613,5649,George V. Neville-Neil
614,5766,Daphne Koller
615,5767,Nir Friedman
616,5793,Yoav Shoham
617,5794,Kevin Leyton-Brown
618,5834,Donald Metzler
619,5923,Ernesto Damiani
620,5976,Carlo Strapparava
621,5991,Thomas Schiex
622,5993,Adnan Darwiche
623,6002,Sanjoy Dasgupta
624,6109,James A. Hendler
625,6168,Maja J. Mataric
626,6321,Yan Zhang
627,6332,Rae-Hong Park
628,6627,Sang Uk Lee
629,6645,Isabelle Bloch
630,6663,Horst Bunke
631,6762,Wen Gao
632,6806,Sally I. McClean
633,6818,Djemel Ziou
634,6948,Xiang Zhang
635,6954,Yu Zhang
636,6984,Gang Li
637,7080,Ehud Rivlin
638,7083,Jake K. Aggarwal
639,7159,Stefano Lonardi
640,7263,Edwin R. Hancock
641,7314,Alberto Del Bimbo
642,7375,Yi Liu
643,7523,Wei Zhang
644,7568,Adam Godzik
645,7597,Heng Huang
646,7621,Ying Liu
647,7725,David Page
648,7750,Horst Bischof
649,7944,Young-Koo Lee
650,8082,Jian Yang
651,8314,Gang Chen
652,8333,Yanchun Zhang
653,8336,Elizabeth Chang
654,8395,Qiang Zhu
655,8549,Kin-Man Lam
656,8580,Khanh Vu
657,8630,J. Leon Zhao
658,8712,Zhen Zhang
659,8758,Joachim Hammer
660,8857,Xin Li
661,8940,Kang Zhang
662,8949,Rui Zhang
663,8962,Hui Li
664,8970,Zheng Zhao
665,9004,Jing Zhang
666,9031,Jie Zhou
667,9049,Wei Chen
668,9066,Dong Xu
669,9076,Mohand Boughanem
670,9122,Hui Wang
671,9165,Min Zhang
672,9276,Bin Wang
673,9285,Ling Li
674,9293,Min Wang
675,9299,Jianyong Wang
676,9313,Xiaoyong Du
677,9332,Yang Zhang
678,9769,Wei Liu
679,9933,Hua Wang
680,9952,Irwin King
681,10170,Jie Liu
682,10209,Kristian J. Hammond
683,10887,Masahiko Tsukamoto
684,10908,Luca Console
685,10947,Shojiro Nishio
686,11257,Mark Guzdial
687,11260,Elliot Soloway
688,11371,Hermann Kaindl
689,11750,Mounia Lalmas
690,11826,Randall Davis
691,11858,Martha E. Pollack
692,11937,Wei Jiang
693,11944,Tommaso Di Noia
694,11945,Eugenio Di Sciascio
695,11946,Francesco M. Donini
696,11951,H. Raghav Rao
697,11979,Abdur Chowdhury
698,11981,Paul W. P. J. Grefen
699,12013,David M. Pennock
700,12061,Guido Boella
701,12062,Leendert W. N. van der To
702,12135,Thomas R. Ioerger
703,12185,Qi Li
704,12200,Vincent Conitzer
705,12201,Tuomas Sandholm
706,12214,Raymond K. Wong
707,12216,James T. Kwok
708,12242,David C. Parkes
709,12286,Peter Stone
710,12388,Jun Xu
711,12393,Anupam Joshi
712,12394,Yelena Yesha
713,12414,Jun Liu
714,12456,Nigel Shadbolt
715,12461,Li Ma
716,12508,Li Chen
717,12539,Hai Zhuge
718,12544,Li Ding
719,12546,Rong Pan
720,12560,Bart Selman
721,12569,Louiqa Raschid
722,12576,Jaideep Srivastava
723,12668,Panagiotis G. Ipeirotis
724,12713,Ying Lu
725,12718,Hans Weigand
726,12737,Foster J. Provost
727,12738,Prem Melville
728,12798,Frank Leymann
729,12849,Wagner Meira Jr.
730,12924,Srinivasan Parthasarathy
731,12926,Amol Ghoting
732,12953,Chung-Min Chen
733,12954,Naphtali Rishe
734,13150,Douglas C. Schmidt
735,13244,Barrett R. Bryant
736,13254,Miroslaw Truszczynski
737,13263,Andrew Lim
738,13340,Chih-Cheng Hung
739,13372,Marjan Mernik
740,13383,Qiaozhu Mei
741,13464,B. John Oommen
742,13765,Yixin Chen
743,13863,Jun Zhang
744,13929,Lei Li
745,13949,Li Yang
746,14050,Kien A. Hua
747,14096,Siu-Ming Yiu
748,14289,Lei Tang
749,14458,Dan A. Simovici
750,14645,Aleksandar Lazarevic
751,15066,Carl-Christian Kanne
752,15077,Sheikh Iqbal Ahamed
753,15101,Makoto Takizawa
754,15127,Gilbert Deléage
755,15286,A. Min Tjoa
756,15338,Wei Wang
757,15478,Gerald Quirchmayr
758,15507,Bhavani M. Thuraisingham
759,15568,Zhen Liu
760,15662,Bettina Kemme
761,15695,Bin Liu
762,15779,Evangelos E. Milios
763,15815,Bo Zhang
764,15981,Xiaolei Li
765,16004,John Mylopoulos
766,16029,Xin Chen
767,16069,Salem Benferhat
768,16124,Yi Wang
769,16485,Stan Matwin
770,16545,Peng Liu
771,16889,Jie Tang
772,17019,Majid Ahmadi
773,17281,Junhu Wang
774,17436,Lei Guo
775,17514,Wei Wang 0009
776,17515,Baile Shi
777,17559,Zhongzhi Shi
778,17607,Lizhu Zhou
779,17613,Zhaohui Wu
780,17673,Ge Yu
781,17675,Venu Govindaraju
782,17691,Jianwen Su
